GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-project,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonFactory,14,35,0,0,3,5,0,2,0,2
java-project,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,58,1,3,0,9,1,3,0,2
java-project,fr.univavignon.pokedex.api,Pokedex,24,51,2,2,4,12,5,5,3,5
java-project,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
java-project,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,17,0,0,0,2,0,2,0,2
java-project,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
java-project,fr.univavignon.pokedex.api,PokedexFactory,0,8,0,0,0,2,0,2,0,2
java-project,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
java-project,fr.univavignon.pokedex.api,Pokemon,3,35,0,0,1,11,1,5,1,5
